000000000000000000000000000000000000	000000000000000000000000000000000000	-2.22045e-16	-2.22045e-16	0	-1.2	0	-1.2	-1.2	-2.22045e-16	5.55112e-16	-2.4	-5.55112e-16	-2.22045e-16	1.2	1.2	1.2	-2.22045e-16	-5.55112e-16	-1.2	-2.4	-5.55112e-16	-2.22045e-16	1.2	1.2	1.2	-2.22045e-16	1.2	-2.4	5.55112e-16	-2.22045e-16	-1.2	-1.2	1.2	-1.2	-2.22045e-16	-2.22045e-16	-2.22045e-16
000000000001000000000000000000000000	000000000000000000000000000000000000	1.2	0	0	0	0	0	0	1.2	1.2	1.2	2.4	2.22045e-16	0	0	0	0	0	1.2	1.2	1.2	1.2	0	0	0	nan	0	1.2	1.2	0	2.4	0	0	0	1.2	1.2	1.2
000000000001000000000000000000000000	000000000000000000000000100000000000	0	0	0	3.33067e-16	0	0	0	0	0	0	0	nan	0	1.2	1.2	0	0	0	0	0	0	0	1.2	0	nan	0	0	0	0	0	0	1.2	0	0	0	0
000000000001000000000100000000000000	000000000000000000000000100000000000	10000	10000	2.4	0	0	10000	10000	10000	10000	10000	2.4	nan	0	1.2	nan	10000	10000	10000	10000	10000	10000	1.2	10000	1.2	nan	10000	10000	10000	10000	1.2	10000	0	1.2	10000	10000	10000
000000000001000000000100000000000000	000000000000000000000000100000010000	-8.88178e-16	0	0	0	nan	0	10000	0	0	0	-2.4	nan	0	0	nan	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0
000000000001001000000100000000000000	000000000000000000000000100000010000	10000	10000	0	0	nan	10000	10000	10000	10000	10000	0	nan	1.22125e-15	0	nan	0	10000	10000	10000	10000	0	nan	0	0	nan	10000	10000	10000	1.2	0	10000	10000	0	1.2	10000	10000
000000000001001000000100000000000000	000000000000000000000000100000010100	-10000	0	nan	-10000	nan	6.66134e-16	-10000	-10000	-10000	-10000	-10000	nan	-10000	-10000	nan	-10000	-10000	-10000	-10000	-10000	-10000	nan	0	2.22045e-16	nan	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000	-10000
000000000001011000000100000000000000	000000000000000000000000100000010100	10000	10000	nan	10000	nan	10000	10000	10000	10000	10000	10000	nan	10000	10000	nan	10000	10000	10000	10000	10000	10000	nan	nan	0	nan	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
000000000001011000000100000000000000	000000000000100000000000100000010100	-10000	-10000	nan	0	nan	-10000	10000	-10000	-10000	-10000	-10000	nan	-10000	-10000	nan	-10000	-10000	-10000	-10000	-10000	1.2	nan	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	1.2	-10000	-10000	-10000	-10000	-10000
000000000001011000000100000001000000	000000000000100000000000100000010100	10000	10000	nan	10000	nan	10000	nan	10000	10000	10000	10000	nan	10000	10000	nan	10000	10000	10000	10000	10000	10000	nan	nan	nan	nan	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
000000000001011000000100000001000000	000001000000100000000000100000010100	-10000	-10000	nan	-10000	nan	-10000	nan	-10000	-10000	-10000	-10000	nan	-10000	-10000	nan	10000	-10000	-10000	-10000	-10000	0	nan	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	nan	-10000	-10000	-10000	-10000	-10000
000000000001011100000100000001000000	000001000000100000000000100000010100	10000	10000	nan	10000	nan	10000	nan	10000	10000	10000	10000	nan	10000	10000	nan	10000	10000	10000	10000	0	nan	nan	nan	nan	nan	10000	10000	10000	10000	10000	nan	10000	10000	10000	10000	10000
000000000001011100000100000001000000	000001000000100010000000100000010100	-10000	-10000	nan	0	nan	-10000	nan	-10000	-10000	-10000	-10000	nan	-10000	-10000	nan	0	-10000	-10000	-10000	nan	nan	nan	nan	nan	nan	-10000	-10000	-10000	-10000	-10000	nan	-10000	-10000	-10000	-10000	-10000
000000000001011100001100000001000000	000001000000100010000000100000010100	10000	10000	nan	10000	nan	10000	nan	10000	10000	10000	10000	nan	10000	10000	nan	nan	10000	10000	10000	nan	nan	nan	nan	nan	nan	10000	10000	10000	10000	10000	nan	10000	10000	0	10000	10000
000000000001011100001100000001000000	001001000000100010000000100000010100	-10000	0	nan	0	nan	-10000	nan	-10000	-10000	-10000	-10000	nan	0	10000	nan	nan	10000	0	-10000	nan	nan	nan	nan	nan	nan	-10000	-10000	0	-10000	-10000	nan	-10000	-10000	nan	-10000	-10000
000000000001011100001110000001000000	001001000000100010000000100000010100	10000	10000	nan	10000	nan	10000	nan	10000	10000	10000	10000	nan	10000	nan	nan	nan	10000	10000	10000	nan	nan	nan	nan	nan	nan	10000	10000	10000	10000	10000	nan	10000	10000	nan	10000	10000
000000000001011100001110000001000000	001001000000100010000001100000010100	0	0	nan	0	nan	10000	nan	10000	10000	0	0	nan	nan	nan	nan	nan	10000	10000	0	nan	nan	nan	nan	nan	nan	10000	10000	0	0	10000	nan	0	0	nan	0	10000
000000000000000000000000000000000000	000000000000000000000000000000000000	-2.22045e-16	-2.22045e-16	0	-1.2	0	-1.2	-1.2	-2.22045e-16	5.55112e-16	-2.4	-5.55112e-16	-2.22045e-16	1.2	1.2	1.2	-2.22045e-16	-5.55112e-16	-1.2	-2.4	-5.55112e-16	-2.22045e-16	1.2	1.2	1.2	-2.22045e-16	1.2	-2.4	5.55112e-16	-2.22045e-16	-1.2	-1.2	1.2	-1.2	-2.22045e-16	-2.22045e-16	-2.22045e-16
000000000000000000000000000000000100	000000000000000000000000000000000000	1.2	0	nan	0	0	0	0	0	1.2	1.2	0	0	-1.2	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0
000000000000000000000000000000000100	000000000000001000000000000000000000	0	0	nan	0	0	0	0	0	-1.11022e-15	0	0	0	0	0	0	0	0	0	0	0	-1.2	nan	0	0	0	0	-8.88178e-16	0	0	0	0	2.22045e-16	0	0	0	0
