0	0	5	0	11	7223
1	1	5	1	24	5141
0	0	5	2	21	3154
1	1	4	3	31	5715
0	0	3	4	14	6837
1	1	3	5	33	8987
0	0	4	6	13	2020
1	1	2	7	12	4340
0	0	1	8	29	9471
1	1	3	9	5	5049
0	0	4	10	15	7365
1	1	2	11	16	3170
0	0	3	12	20	3125
1	1	3	13	2	2827
0	0	1	14	22	3169
1	1	3	15	23	3922
0	0	4	16	19	3977
1	0	2	0	33	9549
0	1	5	1	14	6832
1	0	1	2	22	5342
0	1	1	3	24	6654
1	0	1	4	30	13894
0	1	5	5	31	3560
1	0	5	6	34	13158
0	1	4	7	15	2047
1	0	5	8	13	9558
0	1	2	9	23	1365
1	0	1	10	7	8482
0	1	4	11	10	16508
1	0	4	12	20	16552
0	1	3	13	32	26555
1	0	1	14	5	10259
0	1	1	15	17	4049
1	0	3	16	16	7075
0	1	1	17	25	1606
1	0	2	18	26	5282
0	1	3	19	29	10557
1	0	2	20	6	17944
0	1	5	21	4	4188
1	0	5	22	8	5178
0	0	5	0	10	6593
1	1	5	1	31	7070
0	0	3	2	28	2506
1	1	5	3	19	7488
0	0	1	4	20	1877
1	1	1	5	30	10355
0	0	2	6	29	1574
1	1	1	7	11	9786
0	0	4	8	12	3390
1	1	5	9	4	7600
0	0	1	10	22	1337
1	1	4	11	33	14179
0	0	4	12	32	1740
1	1	3	13	2	4981
0	0	3	14	23	6711
1	1	5	15	21	6387
0	0	3	16	1	2298
1	1	2	17	5	23788
0	0	5	18	3	2615
1	1	2	19	14	16826
0	0	5	20	16	15809
1	1	4	21	24	12154
0	0	2	22	34	2843
1	1	4	23	6	12387
0	0	4	24	7	1285
1	1	5	25	15	1726
1	0	2	0	30	70521
0	1	5	1	15	3461
1	0	1	2	14	16838
0	1	4	3	11	4007
1	0	2	4	6	8729
0	1	1	5	22	2176
1	0	4	6	32	9815
0	1	2	7	23	1973
1	0	4	8	21	7249
0	1	5	9	31	3396
1	0	1	10	4	18143
0	1	5	11	7	2309
0	0	1	0	21	1278
1	1	5	1	31	10042
0	0	5	2	22	3305
1	1	5	3	15	8585
0	0	2	4	14	2113
1	1	5	5	6	9635
0	0	4	6	11	2022
1	1	3	7	12	20166
0	0	4	8	23	1567
1	1	3	9	24	11691
0	0	1	10	20	1198
1	0	4	0	22	7133
0	1	1	1	11	2699
1	0	3	2	24	10243
0	1	1	3	12	4146
1	0	2	4	23	5133
0	1	1	5	25	2709
1	0	5	6	21	2027
0	0	3	0	11	5232
1	1	2	1	22	6412
0	0	1	2	12	2167
1	1	2	3	13	3716
0	0	2	4	31	6376
1	1	3	5	21	7169
0	0	1	6	23	3840
1	1	3	7	15	10880
0	0	3	8	29	850
1	1	5	9	20	15552
0	0	5	10	19	2060
1	1	1	11	10	13026
0	0	1	12	30	3133
1	1	2	13	28	3721
0	0	4	14	32	1409
1	0	1	0	22	5053
0	1	4	1	14	2439
1	0	2	2	15	7271
0	1	1	3	13	1289
1	0	1	4	12	6382
0	1	4	5	21	3313
1	0	2	6	24	25661
0	1	3	7	23	1140
1	0	1	8	5	3558
0	1	2	9	33	3972
1	0	1	10	3	4810
0	1	3	11	4	2496
1	0	4	12	10	23271
0	1	2	13	31	2946
1	0	3	14	32	17389
0	1	3	15	2	2718
1	0	3	16	19	26769
0	1	5	17	29	6844
1	0	1	18	11	29448
0	1	3	19	9	2052
1	0	3	20	27	8258
0	0	2	0	23	3101
1	1	5	1	21	7249
0	0	5	2	25	1456
1	1	3	3	24	4068
0	0	1	4	15	2568
1	1	4	5	5	7568
0	0	3	6	7	1770
1	1	4	7	31	3758
0	0	4	8	16	2278
1	1	5	9	34	11794
0	0	1	10	33	4334
1	1	3	11	19	28919
0	0	5	12	13	2274
1	1	1	13	14	9200
0	0	3	14	3	955
1	0	1	0	23	8724
0	1	3	1	11	2404
1	0	2	2	12	8622
0	1	1	3	20	3607
1	0	1	4	21	6798
0	1	3	5	30	923
1	0	1	6	29	31066
0	1	3	7	3	9670
1	0	5	8	32	22837
0	1	3	9	22	1874
1	0	4	10	5	9565
0	1	4	11	14	1856
1	0	5	12	13	1950
0	0	5	0	11	1009
1	1	1	1	23	3547
0	0	3	2	13	2253
1	1	5	3	12	5377
0	0	4	4	21	1533
1	1	5	5	31	8746
0	0	3	6	29	1786
1	1	4	7	5	2837
0	0	1	8	2	3692
1	1	1	9	20	5093
0	0	3	10	19	3055
1	1	4	11	27	16728
0	0	5	12	14	10629
1	1	3	13	15	4527
0	0	1	14	24	3669
1	1	2	15	7	1555
1	0	3	0	23	91810
0	1	2	1	12	3079
1	0	4	2	14	13180
0	1	3	3	11	4287
1	0	5	4	13	8599
0	1	3	5	21	2425
1	0	3	6	30	10651
0	1	4	7	31	8032
1	0	4	8	1	2497
